SCALE,MODEL,OPTIMIZER,TRANSFORM,DROPOUT,TYPE,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci
3.0,hybrid_v2,Adam,0.5,0.2,best_loss,0.991568,9.580805820006861e-05,-1971.7662577877768,0.3309583510112996,0.9927040000000001,9.993758987533136e-05,-1969.0674534896657,0.38213693132435816
3.0,hybrid_v2,Adam,0.5,0.2,best_acc,0.991592,0.00010693030716737917,-1971.2091605270966,0.366612958102158,0.9926659999999998,0.00012228622422296367,-1967.8434252620648,0.4187284424288894
3.0,hybrid_v2,Adam,1.0,0.0,best_loss,0.9894680000000001,0.00011154758887989501,-1952.2829768159122,0.35145845348470006,0.989062,0.0001225931653364252,-1944.6154122886176,0.3180051087223291
3.0,hybrid_v2,Adam,1.0,0.0,best_acc,0.9895639999999999,9.990459737175015e-05,-1952.6169446573376,0.30444350584935354,0.989112,0.0001228282358026456,-1944.8379097544996,0.4387904131211187
3.0,hybrid_v2,Adam,1.0,0.2,best_loss,0.9900959999999999,9.726283125537133e-05,-1706.8707914482793,0.2507962630685355,0.9934999999999998,9.486752034881673e-05,-1715.5602447277988,0.3058448372073112
3.0,hybrid_v2,Adam,1.0,0.2,best_acc,0.9903020000000001,0.00011345958321596067,-1692.9421268665942,0.30753593581041555,0.9926280000000002,0.00010255546164880832,-1697.5321057901506,0.27319542969329336
5.0,hybrid,Adam,0.0,0.0,best_loss,0.973352,8.78752867689356e-05,-495.4519151634506,0.508705654105655,0.9743280000000002,9.024431752606803e-05,-143.2444625912437,6.1863627237157806
5.0,hybrid,Adam,0.0,0.0,best_acc,0.9766400000000001,5.911383815653579e-05,-395.73759790541254,0.38032083338482753,0.9765599999999999,6.98501082180939e-05,-415.27335956235476,0.2666949243202566
5.0,hybrid,Adam,0.0,0.2,best_loss,0.9830439999999997,3.815493850773808e-05,-523.7515224968632,0.16701019550913512,0.984134,3.6589183683656804e-05,-549.7179878988145,0.14235072920359446
5.0,hybrid,Adam,0.0,0.2,best_acc,0.984108,4.328757532023789e-05,-497.0715953894506,0.17176294459091054,0.98448,4.059955073177052e-05,-523.6476986964744,0.15178981722668022
5.0,hybrid,Adam,0.5,0.0,best_loss,0.988112,5.251014743477704e-05,-750.6637599201445,0.2807106136382818,0.9889560000000002,4.225475164349538e-05,-755.3215770904926,0.21214126305331507
5.0,hybrid,Adam,0.5,0.0,best_acc,0.9884439999999999,3.546830289393164e-05,-664.1923585684088,0.16982043525439092,0.989142,4.841060194004149e-05,-672.9198402984232,0.15070560348607448
5.0,hybrid,Adam,0.5,0.2,best_loss,0.9920779999999999,2.4555177528931952e-05,-533.0614693634419,0.08984633961105638,0.9929520000000001,2.7077191536926868e-05,-549.1086104071895,0.090696564851472
5.0,hybrid,Adam,0.5,0.2,best_acc,0.9925280000000001,1.992275843162956e-05,-520.3379958526998,0.12051836741421611,0.9929600000000001,2.6930695286851457e-05,-530.7077875258047,0.06213401388075549
5.0,hybrid,Adam,1.0,0.0,best_loss,0.9871619999999999,3.0322184275623334e-05,-573.4353760422333,0.15079290349034705,0.98855,4.3821192365787503e-05,-598.6724226012411,0.16049350556246234
5.0,hybrid,Adam,1.0,0.0,best_acc,0.9877859999999999,3.631788100097155e-05,-560.4833146957204,0.15221052400279766,0.9897859999999998,4.3352260345592294e-05,-592.0266733328904,0.2572118333883672
