lambda,intervention_group,concepts_intervened,total_samples,cc_target_Original,cc_target_Seed_654571,cc_target_Seed_773956,cc_target_Seed_89250,cc_non_target_Original,cc_non_target_Seed_654571,cc_non_target_Seed_773956,cc_non_target_Seed_89250,style_target_Original,style_target_Seed_654571,style_target_Seed_773956,style_target_Seed_89250,style_non_target_Original,style_non_target_Seed_654571,style_non_target_Seed_773956,style_non_target_Seed_89250,style_overall_Original,style_overall_Seed_654571,style_overall_Seed_773956,style_overall_Seed_89250,disc_left_acc_Original,disc_left_acc_Seed_654571,disc_left_acc_Seed_773956,disc_left_acc_Seed_89250,disc_right_acc_Original,disc_right_acc_Seed_654571,disc_right_acc_Seed_773956,disc_right_acc_Seed_89250,disc_overall_acc_Original,disc_overall_acc_Seed_654571,disc_overall_acc_Seed_773956,disc_overall_acc_Seed_89250,cc_target_mean,cc_target_ci_95,cc_non_target_mean,cc_non_target_ci_95,style_target_mean,style_target_ci_95,style_non_target_mean,style_non_target_ci_95,style_overall_mean,style_overall_ci_95,disc_left_acc_mean,disc_left_acc_ci_95,disc_right_acc_mean,disc_right_acc_ci_95,disc_overall_acc_mean,disc_overall_acc_ci_95
0.8,AGGREGATE_1_INTERVENTION,1,180000,0.9930888888888889,0.9935777777777778,0.9929611111111111,0.9943833333333333,1.0,1.0,1.0,1.0,0.9300944444444444,0.9492611111111111,0.9621111111111111,0.9754277777777778,0.9761111111111112,0.9743944444444445,0.9773944444444445,0.9924222222222222,0.9079944444444444,0.9246388888888889,0.9403444444444444,0.9680444444444445,0.9284222222222223,0.9292166666666667,0.9313611111111111,0.9344055555555556,0.9182444444444444,0.9276666666666666,0.9292166666666667,0.9328166666666666,0.8500055555555556,0.8599333333333333,0.8636333333333334,0.8701555555555556,0.9935027777777778,0.0010253660073972866,1.0,0.0,0.9542236111111111,0.030727125161320545,0.9800805555555556,0.013237480877891143,0.9352555555555555,0.04063999522995968,0.9308513888888889,0.004256344453861203,0.9269861111111111,0.009888255871346192,0.8609319444444445,0.013400193393129289
0.8,ALL,ALL,990000,0.9874636363636363,0.9883434343434343,0.987240404040404,0.9898181818181818,1.0,1.0,1.0,1.0,0.8646767676767677,0.8911616161616162,0.9151282828282828,0.9521030303030303,0.9761111111111112,0.9743944444444445,0.9773944444444445,0.9924222222222222,0.8606585858585859,0.8866848484848485,0.911170707070707,0.9507606060606061,0.9083949494949495,0.9149434343434344,0.914889898989899,0.9209989898989899,0.8898363636363636,0.9069111111111111,0.9093717171717172,0.9141494949494949,0.8081080808080808,0.8295404040404041,0.8318323232323233,0.8419989898989899,0.9882164141414141,0.0018604531203759253,1.0,0.0,0.9057674242424243,0.05908550863504482,0.9800805555555556,0.013237480877891143,0.9023186868686869,0.06097353622154519,0.9148068181818182,0.008190323897722214,0.9050671717171717,0.01684982689705565,0.8278699494949495,0.022664962783463753
0.8,attr0,1,90000,0.9933555555555555,0.9935222222222222,0.9936444444444444,0.9949333333333333,1.0,1.0,1.0,1.0,0.9040888888888889,0.9358666666666666,0.9561,0.9670222222222222,0.9909222222222223,0.9945333333333334,0.9891222222222222,0.9977,0.8963777777777778,0.9306666666666666,0.9457,0.9648111111111111,0.8818333333333334,0.8848,0.8890777777777777,0.8927222222222222,0.9747555555555556,0.9756666666666667,0.9751222222222222,0.9758222222222223,0.8596444444444444,0.8630222222222222,0.8668888888888889,0.8715111111111111,0.9938638888888889,0.0011500211182078714,1.0,0.0,0.9407694444444443,0.04399892345447096,0.9930694444444446,0.006078398989185567,0.9343888888888888,0.04604616319566558,0.8871083333333334,0.007606229073009615,0.9753416666666667,0.0007839853506015068,0.8652666666666666,0.008127792007870314
0.8,attr1,1,90000,0.9928222222222223,0.9936333333333334,0.9922777777777778,0.9938333333333333,1.0,1.0,1.0,1.0,0.9561,0.9626555555555556,0.9681222222222222,0.9838333333333333,0.9613,0.9542555555555555,0.9656666666666667,0.9871444444444445,0.9196111111111112,0.9186111111111112,0.9349888888888889,0.9712777777777778,0.9750111111111112,0.9736333333333334,0.9736444444444444,0.9760888888888889,0.8617333333333334,0.8796666666666667,0.8833111111111112,0.8898111111111111,0.8403666666666667,0.8568444444444444,0.8603777777777778,0.8688,0.9931416666666667,0.0011505646171814717,1.0,0.0,0.9676777777777779,0.018838074187263437,0.9670916666666667,0.02254925978642706,0.9361222222222223,0.03915458130975651,0.9745944444444445,0.0018901895692295132,0.8786305555555556,0.019127845209534255,0.8565972222222222,0.01897701649642492
0.8,both,2,810000,0.9862135802469136,0.9871802469135802,0.9859691358024691,0.9888037037037037,,,,,0.8501395061728395,0.8782506172839506,0.9046876543209876,0.9469197530864197,,,,,0.8501395061728395,0.8782506172839506,0.9046876543209876,0.9469197530864197,0.9039444444444444,0.9117716049382716,0.9112296296296296,0.9180197530864197,0.8835234567901235,0.9022987654320987,0.9049617283950617,0.9100012345679013,0.7987975308641976,0.8227864197530864,0.8247654320987654,0.835741975308642,0.9870416666666667,0.002046032609857784,,0.0,0.8949993827160494,0.0654952625660797,,0.0,0.8949993827160494,0.0654952625660797,0.9112413580246913,0.009162686398181104,0.9001962962962964,0.018402551627622103,0.8205228395061729,0.02476614184906579
1.0,AGGREGATE_1_INTERVENTION,1,180000,0.9662111111111111,0.9680333333333333,0.9673277777777778,0.9714333333333334,1.0,1.0,1.0,1.0,0.9358333333333333,0.9553777777777778,0.9621111111111111,0.9759777777777778,0.9870944444444445,0.9886722222222222,0.9889277777777777,0.9964055555555555,0.9238166666666666,0.9445944444444444,0.9515277777777778,0.9725277777777778,0.8873166666666666,0.8899666666666667,0.8908777777777778,0.8939055555555555,0.8689888888888889,0.87785,0.8815888888888889,0.8851611111111111,0.7620055555555556,0.7731444444444444,0.7780833333333333,0.7843277777777777,0.9682513888888888,0.003580323941505935,1.0,0.0,0.957325,0.026570987120413676,0.990275,0.006630110220639135,0.9481166666666666,0.031962521431211255,0.8905166666666666,0.00432444659761448,0.8783972222222223,0.011053108277358595,0.7743902777777778,0.0150207310729652
1.0,ALL,ALL,990000,0.9394343434343434,0.9426454545454546,0.941379797979798,0.9486989898989899,1.0,1.0,1.0,1.0,0.8718969696969697,0.9044252525252525,0.9154666666666667,0.9486,0.9870944444444445,0.9886722222222222,0.9889277777777777,0.9964055555555555,0.8697121212121212,0.9024646464646464,0.9135424242424243,0.9479727272727273,0.8098121212121212,0.8164959595959596,0.8187434343434343,0.8218838383838384,0.7829676767676768,0.798509090909091,0.8055929292929292,0.8112141414141414,0.6342181818181818,0.652340404040404,0.6594878787878787,0.667089898989899,0.9430396464646464,0.006360705143342168,1.0,0.0,0.9100972222222222,0.05034174530365999,0.990275,0.006630110220639135,0.9084229797979798,0.051351769448652246,0.8167338383838384,0.008141079316003181,0.7995709595959596,0.019458613481114637,0.6532840909090909,0.022380819130386635
1.0,attr0,1,90000,0.9673666666666667,0.9695666666666667,0.9695111111111111,0.9733666666666667,1.0,1.0,1.0,1.0,0.9189111111111111,0.9483777777777778,0.9607888888888889,0.9743666666666667,0.9962444444444445,0.9977,0.9936111111111111,0.9995888888888889,0.9155777777777778,0.9461888888888889,0.9546777777777777,0.9739555555555556,0.8000333333333334,0.8062666666666667,0.8077555555555556,0.8124111111111111,0.9744,0.9747,0.9743,0.9751888888888889,0.7796777777777778,0.7854333333333333,0.7869333333333334,0.7926333333333333,0.9699527777777778,0.0039713435398335975,1.0,0.0,0.9506111111111111,0.037630452305968336,0.9967861111111112,0.004011311659809107,0.9476,0.038673861691290445,0.8066166666666666,0.008131105266675617,0.9746472222222222,0.0006350757264577757,0.7861694444444445,0.008472372080358182
1.0,attr1,1,90000,0.9650555555555556,0.9665,0.9651444444444445,0.9695,1.0,1.0,1.0,1.0,0.9527555555555556,0.9623777777777778,0.9634333333333334,0.9775888888888888,0.9779444444444444,0.9796444444444444,0.9842444444444445,0.9932222222222222,0.9320555555555555,0.943,0.9483777777777778,0.9711,0.9746,0.9736666666666667,0.974,0.9754,0.7635777777777778,0.781,0.7888777777777778,0.7951333333333334,0.7443333333333333,0.7608555555555555,0.7692333333333333,0.7760222222222222,0.96655,0.0033014142578854998,1.0,0.0,0.9640388888888889,0.016280374748478262,0.9837638888888889,0.010890554114739798,0.9486333333333332,0.02616862435187346,0.9744166666666666,0.0012106781269207241,0.7821472222222222,0.021741796894405894,0.762611111111111,0.02175714479168187
1.0,both,2,810000,0.933483950617284,0.9370037037037037,0.9356135802469135,0.9436469135802469,,,,,0.8576888888888888,0.8931024691358025,0.9051012345679013,0.942516049382716,,,,,0.8576888888888888,0.8931024691358025,0.9051012345679013,0.942516049382716,0.7925888888888889,0.8001691358024692,0.8027135802469135,0.805879012345679,0.7638518518518519,0.7808777777777778,0.7887049382716049,0.7947814814814815,0.605820987654321,0.6254950617283951,0.6331333333333333,0.6410370370370371,0.937437037037037,0.0069785752488757445,,0.0,0.8996021604938271,0.05566105259444482,,0.0,0.8996021604938271,0.05566105259444482,0.8003376543209877,0.009021147124550303,0.782054012345679,0.021327247686047993,0.6263716049382717,0.024025046964629596
tilde,AGGREGATE_1_INTERVENTION,1,180000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9355666666666667,0.9551166666666666,0.9620611111111111,0.9758444444444444,0.9868555555555556,0.98835,0.9886277777777778,0.9963055555555556,0.9233333333333333,0.9440277777777778,0.9512055555555555,0.9723,0.8892666666666666,0.8917666666666667,0.8928333333333334,0.8953833333333333,0.8708888888888889,0.8800555555555556,0.8838555555555555,0.8870166666666667,0.7657666666666667,0.7770777777777778,0.7822111111111111,0.7875555555555556,1.0,0.0,1.0,0.0,0.9571472222222221,0.02668287111554989,0.9900347222222223,0.006766487133311694,0.9477166666666668,0.03214989454957863,0.8923125,0.004033504253483776,0.8804541666666666,0.011111603008069197,0.7781527777777778,0.014797909718057311
tilde,ALL,ALL,990000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8714878787878788,0.9035858585858586,0.9154060606060606,0.9485090909090909,0.9868555555555556,0.98835,0.9886277777777778,0.9963055555555556,0.8692636363636363,0.901569696969697,0.9134323232323233,0.9478646464646464,0.8154232323232323,0.8220929292929293,0.8242868686868687,0.8264434343434344,0.7888050505050505,0.8046131313131313,0.8118252525252525,0.8163262626262626,0.6418979797979798,0.6603787878787879,0.6675121212121212,0.6735989898989899,1.0,0.0,1.0,0.0,0.9097472222222223,0.05062194704211208,0.9900347222222223,0.006766487133311694,0.9080325757575758,0.05164780099211719,0.8220616161616161,0.007588049208862718,0.8053924242424242,0.019197792815094244,0.6608469696969698,0.021862612351210176
