lambda,intervention_group,concepts_intervened,total_samples,cc_target_Original,cc_target_Seed_438878,cc_target_Seed_654571,cc_target_Seed_773956,cc_target_Seed_89250,cc_non_target_Original,cc_non_target_Seed_438878,cc_non_target_Seed_654571,cc_non_target_Seed_773956,cc_non_target_Seed_89250,style_target_Original,style_target_Seed_438878,style_target_Seed_654571,style_target_Seed_773956,style_target_Seed_89250,style_non_target_Original,style_non_target_Seed_438878,style_non_target_Seed_654571,style_non_target_Seed_773956,style_non_target_Seed_89250,style_overall_Original,style_overall_Seed_438878,style_overall_Seed_654571,style_overall_Seed_773956,style_overall_Seed_89250,disc_left_acc_Original,disc_left_acc_Seed_438878,disc_left_acc_Seed_654571,disc_left_acc_Seed_773956,disc_left_acc_Seed_89250,disc_right_acc_Original,disc_right_acc_Seed_438878,disc_right_acc_Seed_654571,disc_right_acc_Seed_773956,disc_right_acc_Seed_89250,disc_overall_acc_Original,disc_overall_acc_Seed_438878,disc_overall_acc_Seed_654571,disc_overall_acc_Seed_773956,disc_overall_acc_Seed_89250,cc_target_mean,cc_target_ci_95,cc_non_target_mean,cc_non_target_ci_95,style_target_mean,style_target_ci_95,style_non_target_mean,style_non_target_ci_95,style_overall_mean,style_overall_ci_95,disc_left_acc_mean,disc_left_acc_ci_95,disc_right_acc_mean,disc_right_acc_ci_95,disc_overall_acc_mean,disc_overall_acc_ci_95
0.4,AGGREGATE_1_INTERVENTION,1,180000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7858277777777778,0.79605,0.7614222222222222,0.8372111111111111,0.8327777777777777,0.8247666666666666,0.8108388888888889,0.7717,0.8298277777777778,0.8803666666666666,0.6567388888888889,0.6589166666666667,0.6188055555555556,0.7052277777777778,0.7408833333333333,0.9631388888888889,0.9713055555555555,0.9694222222222222,0.96445,0.9707055555555556,0.96165,0.9792944444444445,0.9725111111111111,0.9716833333333333,0.9698055555555556,0.9260277777777778,0.9513555555555555,0.9425944444444444,0.9370888888888889,0.9412722222222222,1.0,0.0,1.0,0.0,0.8026577777777778,0.03989023101647696,0.8234999999999999,0.04856401210934137,0.6761144444444446,0.05889101083830585,0.9678044444444446,0.0046587696436052265,0.9709888888888889,0.007862704060024841,0.9396677777777779,0.011455049210939715
0.4,ALL,ALL,990000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48271010101010103,0.49294040404040407,0.3949939393939394,0.5520525252525252,0.5961171717171717,0.8247666666666666,0.8108388888888889,0.7717,0.8298277777777778,0.8803666666666666,0.45923939393939395,0.4680070707070707,0.36906363636363637,0.5280555555555555,0.5794090909090909,0.9895979797979798,0.9922171717171717,0.9923242424242424,0.9894707070707071,0.9921343434343435,0.9771181818181818,0.9923909090909091,0.9889575757575758,0.988689898989899,0.9840585858585859,0.9670151515151515,0.9847565656565657,0.9814111111111111,0.978360606060606,0.9763757575757576,1.0,0.0,1.0,0.0,0.5037628282828284,0.09466870277966388,0.8234999999999999,0.04856401210934137,0.48075494949494946,0.09830020250383624,0.991148888888889,0.0018328132016389525,0.9862430303030303,0.007324423067696634,0.9775838383838383,0.008326002971532716
0.4,attr0,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8519666666666666,0.8910666666666667,0.9216222222222222,0.9094888888888889,0.9222222222222223,0.9582,0.9584555555555555,0.9813444444444445,0.9603666666666667,0.9743888888888889,0.8169666666666666,0.8544333333333334,0.9045,0.8743111111111111,0.8981,0.9499111111111112,0.9639333333333333,0.9625111111111111,0.9538222222222222,0.9632,0.9821111111111112,0.9854,0.9829333333333333,0.9826,0.9835111111111111,0.9328444444444445,0.9500222222222222,0.9459333333333333,0.9372222222222222,0.9472555555555555,1.0,0.0,1.0,0.0,0.8992733333333334,0.036390246494108054,0.9665511111111111,0.013225323131848127,0.8696622222222222,0.044130329700729436,0.9586755555555555,0.007931032005580554,0.9833111111111112,0.001581824848757475,0.9426555555555556,0.009038397478410383
0.4,attr1,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7196888888888889,0.7010333333333333,0.6012222222222222,0.7649333333333334,0.7433333333333333,0.6913333333333334,0.6632222222222223,0.5620555555555555,0.6992888888888888,0.7863444444444444,0.4965111111111111,0.4634,0.33311111111111114,0.5361444444444444,0.5836666666666667,0.9763666666666667,0.9786777777777778,0.9763333333333334,0.9750777777777778,0.9782111111111111,0.9411888888888889,0.9731888888888889,0.9620888888888889,0.9607666666666667,0.9561,0.9192111111111111,0.9526888888888889,0.9392555555555555,0.9369555555555555,0.9352888888888888,1.0,0.0,1.0,0.0,0.7060422222222222,0.07867032296121315,0.6804488888888889,0.10010812482086918,0.4825666666666667,0.11777914449653214,0.9769333333333334,0.0018416853329919565,0.9586666666666666,0.014414497583874161,0.93668,0.014823346679175538
0.4,both,2,810000,1.0,1.0,1.0,1.0,1.0,,,,,,0.4153506172839506,0.4255827160493827,0.3135654320987654,0.4886839506172839,0.543525925925926,,,,,,0.4153506172839506,0.4255827160493827,0.3135654320987654,0.4886839506172839,0.543525925925926,0.9954777777777778,0.9968641975308642,0.9974135802469136,0.9950308641975308,0.9968962962962963,0.9805555555555555,0.9953012345679012,0.9926123456790124,0.9924691358024691,0.987225925925926,0.9761234567901235,0.9921790123456791,0.990037037037037,0.9875320987654321,0.9841765432098766,1.0,0.0,,0.0,0.43734172839506175,0.10726849193470266,,0.0,0.43734172839506175,0.10726849193470266,0.9963365432098765,0.0012714219681973637,0.9896328395061728,0.007273095311518852,0.9860096296296297,0.0077962218897357945
0.6,AGGREGATE_1_INTERVENTION,1,180000,0.9998555555555556,0.9998666666666667,0.9998666666666667,0.9997944444444444,0.9999388888888889,1.0,1.0,1.0,1.0,1.0,0.88855,0.8982055555555556,0.9099111111111111,0.9191388888888888,0.9303944444444444,0.9103222222222223,0.9093333333333333,0.9107833333333333,0.9222222222222223,0.9564166666666667,0.8099833333333334,0.8185388888888889,0.8310666666666666,0.8485333333333334,0.8901333333333333,0.9440055555555555,0.9566833333333333,0.9529555555555556,0.94755,0.9561055555555555,0.9406277777777777,0.9614444444444444,0.9531333333333334,0.95175,0.9537944444444444,0.8863833333333333,0.9194222222222223,0.9075333333333333,0.90085,0.9112666666666667,0.9998644444444444,6.370977913540819e-05,1.0,0.0,0.9092399999999999,0.02055117066802475,0.9218155555555556,0.024887657909209472,0.839651111111111,0.03939688672580967,0.95146,0.006856131020126876,0.9521499999999999,0.009270571502380778,0.9050911111111113,0.015426777684845404
0.6,ALL,ALL,990000,0.9997373737373737,0.9997575757575757,0.9997575757575757,0.9996262626262626,0.9998888888888889,1.0,1.0,1.0,1.0,1.0,0.7409575757575757,0.7545717171717172,0.7472969696969697,0.7926939393939394,0.8581444444444445,0.9103222222222223,0.9093333333333333,0.9107833333333333,0.9222222222222223,0.9564166666666667,0.7266727272727272,0.7400868686868687,0.7329616161616161,0.7798565656565657,0.8508242424242424,0.955479797979798,0.9696010101010101,0.9683161616161616,0.9579141414141414,0.9694242424242424,0.9413646464646465,0.9682282828282829,0.9594464646464647,0.9583111111111111,0.9584060606060606,0.8990585858585859,0.9388020202020202,0.9289232323232324,0.9177939393939394,0.9289939393939394,0.9997535353535353,0.00011583596206435352,1.0,0.0,0.7787329292929293,0.06051140800359437,0.9218155555555556,0.024887657909209472,0.7660804040404041,0.06420970895992842,0.9641470707070706,0.00853381717575501,0.9571513131313131,0.012103921036572353,0.9227143434343436,0.01883692898912142
0.6,attr0,1,90000,0.9997444444444444,0.9998555555555556,0.9998222222222222,0.9997222222222222,0.9999111111111111,1.0,1.0,1.0,1.0,1.0,0.8956666666666667,0.9225111111111111,0.9464777777777778,0.9346777777777778,0.9481222222222222,0.9771888888888889,0.9759222222222222,0.9914111111111111,0.9780111111111112,0.9876666666666667,0.8754777777777778,0.9005888888888889,0.9383888888888889,0.9142333333333333,0.9361777777777778,0.9058666666666667,0.9313444444444444,0.9268888888888889,0.9147444444444445,0.9304666666666667,0.9835444444444444,0.9863555555555555,0.9843888888888889,0.9844888888888889,0.9844666666666667,0.8908555555555555,0.9187888888888889,0.9124444444444444,0.9005333333333333,0.9160222222222222,0.9998111111111111,9.706533975968575e-05,1.0,0.0,0.9294911111111113,0.026741794082957744,0.9820400000000001,0.008706480552200814,0.9129733333333332,0.03252872620711613,0.9218622222222222,0.013822918055326115,0.9846488888888889,0.001281219403374064,0.9077288888888889,0.01455748232303245
0.6,attr1,1,90000,0.9999666666666667,0.9998777777777778,0.9999111111111111,0.9998666666666667,0.9999666666666667,1.0,1.0,1.0,1.0,1.0,0.8814333333333333,0.8739,0.8733444444444445,0.9036,0.9126666666666666,0.8434555555555555,0.8427444444444444,0.8301555555555555,0.8664333333333334,0.9251666666666667,0.7444888888888889,0.7364888888888889,0.7237444444444444,0.7828333333333334,0.8440888888888889,0.9821444444444445,0.9820222222222222,0.9790222222222222,0.9803555555555555,0.9817444444444444,0.8977111111111111,0.9365333333333333,0.9218777777777778,0.9190111111111111,0.9231222222222222,0.8819111111111111,0.9200555555555555,0.9026222222222222,0.9011666666666667,0.9065111111111112,0.9999177777777778,5.901835827083097e-05,1.0,0.0,0.8889888888888888,0.022415658040202468,0.861591111111111,0.0470260784258814,0.766328888888889,0.06051077356365239,0.9810577777777778,0.0016680764709250458,0.9196511111111111,0.017380959759541084,0.9024533333333334,0.017001852585795132
0.6,both,2,810000,0.9997111111111111,0.9997333333333334,0.9997333333333334,0.9995888888888889,0.9998777777777778,,,,,,0.7081592592592593,0.7226530864197531,0.7111604938271605,0.7645950617283951,0.8420888888888889,,,,,,0.7081592592592593,0.7226530864197531,0.7111604938271605,0.7645950617283951,0.8420888888888889,0.9580296296296297,0.9724716049382716,0.9717296296296296,0.9602172839506172,0.972383950617284,0.9415283950617284,0.9697358024691358,0.9608493827160494,0.9597691358024691,0.9594308641975309,0.9018753086419753,0.9431086419753086,0.9336765432098766,0.9215592592592593,0.9329333333333333,0.9997288888888889,0.00012741955827077234,,0.0,0.7497313580246914,0.06996428731914871,,0.0,0.7497313580246914,0.06996428731914871,0.9669664197530864,0.008948640749622315,0.9582627160493826,0.012753435594503884,0.9266306172839507,0.01962691979816343
