SCALE,MODEL,PRIOR,OPTIMIZER,TRANSFORM,DROPOUT,TYPE,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_acc,0.980996,0.00019822894351975503,-4469.055590511273,0.3142527604116743,0.982166,0.00022992468676938548,-4451.615333391021,0.38305550104090824
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_loss,0.979824,0.00022010498910723288,-4491.394815318434,0.33340682674066374,0.9833279999999999,0.00021267655262681312,-4478.559673778679,0.3248407129652472
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_acc,0.97991,0.00022231729742835355,-4488.613354306764,0.33594831104292927,0.9832939999999999,0.00021547692815101997,-4475.383130686313,0.33818909727650487
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.0,best_loss,0.947342,0.00027302043245811035,-4184.164601834454,0.9931198208328127,0.9559399999999999,0.00028151624255697103,-4142.056434959701,7.091693414699371
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.0,best_acc,0.9579719999999999,0.00025709743638479204,-1743.999039847458,0.3830051510280036,0.9588620000000002,0.0001917132968153572,-1752.0948386199566,0.34041301957346265
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.1,best_loss,0.951566,0.0003102937367927819,-4464.842037059929,1.0081066075544172,0.960288,0.00024606409364543054,-4495.827297888647,0.7318285054050674
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.1,best_acc,0.9608160000000001,0.0002587156795131862,-3237.3305039186116,0.8291063515989485,0.965616,0.0002311936773258876,-3255.139335752078,0.8549831362021845
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.2,best_loss,0.9558760000000001,0.0003006867523511063,-4378.00163926523,1.0812374151665112,0.9632539999999998,0.00023514185889986303,-4400.1464058791535,0.8134359208282246
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.2,best_acc,0.9601559999999999,0.00031412405275591145,-4276.985873281745,1.1346944371655716,0.9645139999999999,0.0002517833438282646,-4278.889294773537,0.9277686720341656
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.0,best_loss,0.9788800000000001,0.00018247228583089371,-4482.363385087026,0.7393868895063264,0.9830580000000001,0.0001865892808195017,-4487.272354504548,0.7203562215282145
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.0,best_acc,0.979482,0.00021272692411394788,-4454.3634925089,1.046194909034927,0.982258,0.00020389626320064331,-4482.349738182358,0.828271840177865
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.1,best_loss,0.9795540000000001,0.00022533372442473055,-4467.095673580894,0.8616493501225208,0.984382,0.00018415286700995727,-4472.126098447389,0.6578878256478435
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.1,best_acc,0.979412,0.00020889169172141125,-4347.981029964399,0.7775439517436749,0.9830059999999999,0.00019893034138555345,-4346.604980715982,0.697599984548911
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.2,best_loss,0.9798979999999999,0.0002002582871385956,-4383.0364684286,0.6827425771732,0.9828100000000001,0.00019010390097969697,-4374.688086555578,0.8158446697304645
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.2,best_acc,0.9793040000000001,0.0002034001024672315,-4373.7035711283625,0.6941551127238061,0.9818760000000001,0.00021349033539192015,-4363.581150304093,0.7788768614873529
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.0,best_loss,0.980748,0.00018616034039326467,-4505.026886805281,0.8350541136406382,0.9846679999999999,0.00019158858732644708,-4521.138987712619,0.7175593669592525
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.0,best_acc,0.98056,0.00020046477847334912,-4497.776740506329,0.8410079966139148,0.9843660000000003,0.00019476023849397686,-4509.730681863132,0.7023859438997027
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_loss,0.9819519999999998,0.00014686042213456216,-4430.798037851068,0.682462942202349,0.984646,0.00018212960268326558,-4426.695483089398,0.6852146031742508
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_acc,0.9826719999999999,0.000189390703166172,-4356.334166089794,0.763935995730471,0.9837260000000001,0.00017470171136544076,-4341.485112551919,0.6380256489182864
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_loss,0.982294,0.00021745674235489125,-4346.612646978838,0.6874302983562993,0.9856979999999999,0.00021693157174668438,-4346.990806467563,0.8101965878672353
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_acc,0.9823139999999999,0.00022385121098889292,-4274.494059595036,0.7233266558520228,0.9857680000000001,0.00016674903234438788,-4272.063979059533,0.7397451818574707
